                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.612,                 1.7518,                 1.1483,                0.51504,                0.30669,                0.23846,                0.11895,                 1.5515,                 1.6864,                 1.1211,              0.0033308,              0.0033308,              0.0033308
                      1,                 1.5651,                 1.2709,                  1.131,                0.63128,                0.30784,                0.29756,                 0.1433,                 1.5802,                 1.4947,                 1.1272,              0.0065981,              0.0065981,              0.0065981
                      2,                 1.5894,                 1.2086,                  1.148,                0.53416,                0.31322,                  0.299,                0.14202,                 1.5934,                 1.1891,                 1.1539,              0.0097995,              0.0097995,              0.0097995
                      3,                 1.5903,                  1.132,                 1.1535,                 0.5847,                0.33995,                0.34953,                0.16982,                 1.5604,                 1.1209,                 1.1508,               0.009703,               0.009703,               0.009703
                      4,                 1.5492,                 1.0515,                 1.1398,                0.72775,                0.35308,                0.39725,                0.19599,                 1.5307,                 1.0407,                 1.1279,               0.009703,               0.009703,               0.009703
                      5,                 1.5303,                 1.0139,                 1.1297,                0.64326,                0.38618,                0.40735,                0.20721,                  1.494,                0.98717,                 1.1132,               0.009604,               0.009604,               0.009604
                      6,                 1.5088,                0.98244,                   1.12,                0.69686,                0.40232,                0.44106,                0.22462,                 1.4771,                0.92962,                 1.1014,               0.009505,               0.009505,               0.009505
                      7,                 1.4878,                0.95607,                 1.1143,                0.68561,                0.38923,                0.45014,                0.22887,                 1.4705,                0.91969,                 1.0994,               0.009406,               0.009406,               0.009406
                      8,                 1.4828,                0.94259,                 1.1099,                0.65204,                0.41047,                0.47814,                0.24554,                 1.4585,                0.89429,                 1.0989,               0.009307,               0.009307,               0.009307
                      9,                 1.4665,                0.92367,                 1.1034,                0.63064,                0.41849,                0.48835,                0.25402,                 1.4494,                0.88448,                 1.0906,               0.009208,               0.009208,               0.009208
                     10,                 1.4581,                0.91272,                 1.0993,                0.59409,                 0.4631,                 0.4949,                0.25811,                 1.4412,                0.87482,                 1.0889,               0.009109,               0.009109,               0.009109
                     11,                 1.4497,                0.90452,                 1.0926,                0.61975,                0.46181,                0.50516,                0.26354,                 1.4378,                0.84491,                 1.0806,                0.00901,                0.00901,                0.00901
                     12,                 1.4378,                0.89083,                 1.0889,                0.65321,                0.45384,                0.51824,                0.27431,                 1.4185,                0.85402,                 1.0762,               0.008911,               0.008911,               0.008911
                     13,                 1.4295,                0.88045,                 1.0851,                0.65812,                0.47445,                0.52982,                0.28037,                 1.4102,                 0.8273,                 1.0713,               0.008812,               0.008812,               0.008812
                     14,                 1.4221,                0.87225,                 1.0827,                0.63684,                0.48711,                0.52769,                0.28058,                 1.4048,                 0.8125,                 1.0727,               0.008713,               0.008713,               0.008713
                     15,                 1.4215,                0.86856,                 1.0837,                0.63259,                0.49526,                0.54392,                0.28833,                 1.3962,                 0.8308,                 1.0693,               0.008614,               0.008614,               0.008614
                     16,                 1.4158,                0.86204,                 1.0838,                0.62511,                0.51764,                 0.5566,                0.29706,                 1.3925,                0.79837,                 1.0627,               0.008515,               0.008515,               0.008515
                     17,                 1.4105,                0.85841,                 1.0762,                 0.6709,                0.51731,                0.56922,                0.30557,                 1.3759,                0.78291,                 1.0568,               0.008416,               0.008416,               0.008416
                     18,                 1.4058,                0.85101,                 1.0771,                0.69057,                0.49666,                0.57206,                0.30437,                 1.3722,                 0.7923,                 1.0543,               0.008317,               0.008317,               0.008317
                     19,                  1.394,                0.83865,                 1.0715,                0.69731,                0.51546,                0.58066,                0.31121,                  1.369,                0.77813,                 1.0553,               0.008218,               0.008218,               0.008218
                     20,                 1.3917,                0.83747,                  1.071,                0.68481,                0.50848,                0.57191,                0.31043,                  1.362,                0.77566,                 1.0501,               0.008119,               0.008119,               0.008119
                     21,                 1.3926,                0.83411,                 1.0708,                0.68433,                0.52255,                0.58862,                 0.3168,                  1.357,                0.76387,                 1.0494,                0.00802,                0.00802,                0.00802
                     22,                 1.3867,                0.83119,                 1.0678,                0.71498,                0.52027,                0.59025,                0.31781,                 1.3501,                0.75992,                 1.0469,               0.007921,               0.007921,               0.007921
